a,b,c,d,e,f,g,h,z
694,1349,1102,3856,2394,1329,4511,5555,0
678,1196,936,4074,2297,1215,5371,6263,0
598,1103,834,3794,2105,1074,5170,6396,0
456,852,569,3424,1883,889,5319,7150,0
353,791,489,3332,1705,806,5219,7440,0
367,800,500,3154,1366,650,4951,7263,0
404,809,530,3179,1423,677,4968,7142,0
483,893,681,3095,1679,885,4451,6393,0
553,961,751,3625,1980,1021,5138,6568,0
773,1189,1051,3502,2256,1334,4374,5383,0
880,1263,1204,3345,2283,1501,3832,4707,2
774,1156,1066,3161,2054,1394,3809,4956,2
795,1217,1105,3241,2151,1401,3839,4915,2
784,1187,1067,3300,2151,1436,4039,5113,2
617,995,810,3191,1800,1050,4434,5951,0
523,923,702,3392,1758,949,4915,6571,0
606,960,813,3276,1857,1141,4525,6023,2
661,1019,909,2838,1929,1266,3617,5148,2
511,933,787,3032,1893,1176,4032,5879,2
396,834,600,2753,1359,742,4022,6421,0
431,861,593,2875,1352,749,4322,6580,0
468,921,664,3080,1556,872,4456,6453,0
388,843,582,2913,1393,719,4318,6670,0
359,758,492,2706,1208,588,4269,6923,0
327,735,463,3078,1448,679,4877,7385,0
332,722,455,3213,1489,681,5125,7519,0
429,806,596,2955,1499,788,4430,6643,0
643,1001,943,2860,1950,1389,3499,5041,0
718,1084,1065,2861,2043,1517,3238,4575,0
558,922,809,2524,1587,1058,3250,5146,0
454,766,543,3002,1377,676,4782,6937,0
416,764,518,3426,1592,714,5420,7373,0
424,777,543,3407,1706,753,5310,7251,0
435,766,555,2862,1489,711,4461,6752,0
422,768,563,2232,1042,558,3353,5971,0
296,657,402,2079,966,503,3417,6759,0
213,566,284,2584,1417,687,4531,8020,0
194,537,266,2535,1208,650,4475,8101,0
244,584,338,2204,776,412,3761,7341,0
301,652,446,1860,611,298,2879,6132,0
287,625,411,1932,682,328,3105,6492,0
285,607,376,2310,994,472,3890,7200,0
472,767,615,2809,1562,976,4233,6408,0
619,945,865,2901,2007,1384,3785,5406,0
554,888,711,3385,2004,1072,4953,6528,0
527,878,627,3889,2031,982,5953,7223,0
607,923,716,3791,2205,1162,5680,6823,0
689,980,872,3316,2399,1451,4566,5836,0
606,945,817,3294,2313,1383,4536,6025,0
531,850,668,3352,1954,1061,5016,6677,0
452,789,609,2776,1507,845,4155,6402,0
519,871,813,2277,1479,931,2760,4738,0
497,860,758,2644,1596,959,3502,5544,0
727,883,639,3165,1724,833,5469,6640,0
706,870,598,3379,1960,916,5957,6993,0
698,863,609,3446,1964,932,5978,6996,0
792,995,761,3421,1896,929,5520,6361,0
1083,1284,1076,3442,2052,1081,5023,5237,0
2744,2965,2983,4892,4106,2982,3909,2424,0
2569,2666,2653,4738,3566,2500,4577,2821,0
1374,1682,1505,4413,2694,1680,5534,4914,0
-345,538,441,4110,2420,1351,4742,8062,0
-317,618,518,3939,2336,1325,4403,7676,0
-196,585,525,3936,2323,1310,4596,7646,0
-319,878,544,3956,2241,1217,4349,7582,0
406,954,663,3475,1838,964,4879,6796,0
283,848,517,3438,1738,858,5065,7386,0
415,941,626,3778,2021,968,5464,7157,0
546,1047,772,3724,1999,995,5175,6566,0
495,964,687,3728,2019,969,5378,6888,0
442,857,580,3543,1871,903,5404,7187,0
439,830,542,2798,1290,626,4421,6754,0
394,826,591,2765,1258,640,4069,6478,0
360,832,607,3389,1871,979,4853,6962,0
369,878,594,3766,1926,924,5445,7275,0
674,1146,971,3714,2161,1212,4734,5855,0
635,1071,911,3523,2088,1191,4590,5891,0
628,1100,932,3306,2082,1268,4183,5602,0
793,1258,1176,3357,2271,1421,3769,4811,0
849,1323,1227,3440,2315,1437,3833,4742,0
623,996,790,3285,1678,893,4671,6123,0
538,894,666,3114,1522,832,4681,6476,0
646,1041,954,3033,2071,1580,3736,5214,2
698,1107,1066,2776,1974,1520,3067,4451,2
633,1060,1030,2763,2105,1612,3052,4569,2
535,927,799,2605,1651,1171,3373,5306,2
528,971,843,2807,1843,1433,3531,5381,2
534,956,836,2811,1858,1392,3572,5415,2
531,956,803,2807,1563,955,3672,5551,0
373,786,537,3042,1318,635,4650,6999,0
364,764,514,3426,1675,775,5283,7391,0
397,797,564,3220,1620,801,4873,7019,0
518,857,709,2768,1626,941,3918,5922,0
617,1059,1062,2857,2095,1551,3073,4580,2
545,913,760,1889,1239,824,2283,4262,0
512,936,788,2730,1634,1012,3565,5520,0
471,888,737,3309,2003,1179,4529,6357,0
443,794,544,3551,1739,847,5572,7343,0
410,772,517,3485,1668,706,5491,7416,0
335,722,461,3202,1519,672,5093,7483,0
313,682,436,2882,1365,634,4650,7372,0
316,710,478,2496,1329,687,3883,6785,0
274,615,351,2743,1611,797,4674,7731,0
343,652,445,2401,1493,1085,3912,6873,0
351,664,451,2405,1043,641,3915,6842,0
316,652,431,2052,716,347,3303,6528,0
347,678,487,2250,994,510,3507,6441,0
356,686,460,2921,1508,762,4729,7279,0
475,805,642,3059,1818,1139,4527,6531,0
660,1093,1067,2855,2158,1628,3124,4559,0
543,868,674,3180,1853,957,4764,6502,0
558,875,659,3071,1769,886,4696,6466,0
580,871,646,3379,1835,923,5294,6790,0
597,853,645,3498,1889,935,5533,6886,0
611,888,755,2857,1892,1125,4104,5819,0
582,874,745,2725,1784,1118,3858,5706,0
512,834,672,2837,1655,972,4154,6170,0
576,886,798,2432,1597,1012,3167,5059,0
479,767,583,3009,1664,908,4696,6754,0
710,889,652,3459,2003,963,5826,6828,0
725,903,665,3231,1967,945,5444,6586,0
740,896,665,3114,1744,853,5299,6481,0
818,987,778,3004,1742,876,4824,5886,0
1066,1312,1133,3381,2138,1152,4613,4980,0
2766,3061,3068,5003,4365,3175,3819,2397,0
2821,2979,3022,4991,4166,2988,4114,2457,0
2266,2273,2220,4442,2992,1984,5159,3335,0
308,1080,777,3914,2224,1309,4821,6687,0
32,560,549,3829,2275,1349,4857,7492,0
564,1180,882,3917,2257,1322,5065,6324,0
547,1104,863,3837,2216,1276,4986,6328,0
479,1023,785,3485,1844,1045,4622,6323,0
371,913,618,3558,1700,857,5075,7040,0
410,910,610,3748,1829,859,5473,7201,0
416,885,577,3592,1741,817,5409,7232,0
395,822,510,3906,1732,775,6063,7690,0
436,842,577,3387,1565,750,5173,7089,0
414,816,544,2552,1081,551,3949,6486,0
363,832,619,2740,1537,873,3862,6314,0
351,902,685,3338,2020,1157,4477,6595,0
